Common Name,Distribution,Endangered Species Act Status,NatureServe Global Rank,NatureServe Rounded Global Rank,Scientific Name,Species Group (Fine),View on NatureServe Explorer,_id
Santa Ana Sucker,United States: CA (S1),Threatened,G1,G1,Catostomus santaanae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103583/Catostomus_santaanae,645ab24495bd22ca2330fbb9
Warner Sucker,"United States: NV (S1), OR (S1)",Threatened,G1,G1,Catostomus warnerensis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100954/Catostomus_warnerensis,645ab24495bd22ca2330fbba
Shortnose Sucker,"United States: CA (S1), OR (S1)",Endangered,G1G2,G1,Chasmistes brevirostris,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106479/Chasmistes_brevirostris,645ab24495bd22ca2330fbbb
Cui-ui,United States: NV (S1),Endangered,G1,G1,Chasmistes cujus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106051/Chasmistes_cujus,645ab24495bd22ca2330fbbc
June Sucker,United States: UT (S2),Threatened,G2,G2,Chasmistes liorus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100138/Chasmistes_liorus,645ab24495bd22ca2330fbbd
Blackside Dace,"United States: KY (S2), TN (S2), VA (S1)",Threatened,G2,G2,Chrosomus cumberlandensis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106572/Chrosomus_cumberlandensis,645ab24495bd22ca2330fbbe
Laurel Dace,United States: TN (S1),Endangered,G1,G1,Chrosomus saylori,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106151/Chrosomus_saylori,645ab24495bd22ca2330fbbf
Pygmy Sculpin,United States: AL (S1),Threatened,G1,G1,Cottus paulus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103831/Cottus_paulus,645ab24495bd22ca2330fbc0
Grotto Sculpin,United States: MO (S1),Endangered,G2,G2,Cottus specus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100691/Cottus_specus,645ab24495bd22ca2330fbc1
Railroad Valley Springfish,United States: NV (S2),Threatened,G1,G1,Crenichthys nevadae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103873/Crenichthys_nevadae,645ab24495bd22ca2330fbc2
Diamond Darter,"United States: IN (SH), KY (SX), OH (SX), TN (SX), WV (S1)",Endangered,G1,G1,Crystallaria cincotta,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.831356/Crystallaria_cincotta,645ab24495bd22ca2330fbc3
Blue Shiner,"United States: AL (S1), GA (S2), TN (S1)",Threatened,G2,G2,Cyprinella caerulea,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106038/Cyprinella_caerulea,645ab24495bd22ca2330fbc4
Beautiful Shiner,"United States: AZ (SX,S1), NM (SX)",Threatened,G3,G3,Cyprinella formosa,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105433/Cyprinella_formosa,645ab24495bd22ca2330fbc5
Plateau Shiner,United States: TX (S2),Under Review,G1G2,G1,Cyprinella lepida,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104413/Cyprinella_lepida,645ab24495bd22ca2330fbc6
Altamaha Shiner,United States: GA (S2),Under Review,G2G3,G2,Cyprinella xaenura,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102978/Cyprinella_xaenura,645ab24495bd22ca2330fbc7
Leon Springs Pupfish,United States: TX (S1),Endangered,G1,G1,Cyprinodon bovinus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103789/Cyprinodon_bovinus,645ab24495bd22ca2330fbc8
"Devil's Hole Pupfish",United States: NV (S1),Endangered,G1,G1,Cyprinodon diabolis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106259/Cyprinodon_diabolis,645ab24495bd22ca2330fbc9
Comanche Springs Pupfish,United States: TX (S1),Endangered,G1,G1,Cyprinodon elegans,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103179/Cyprinodon_elegans,645ab24495bd22ca2330fbca
Desert Pupfish,"United States: AZ (S1), CA (S1)",Endangered,G1,G1,Cyprinodon macularius,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105718/Cyprinodon_macularius,645ab24495bd22ca2330fbcb
Pecos Pupfish,"United States: NM (S1), TX (S1)",Under Review,G2,G2,Cyprinodon pecosensis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104698/Cyprinodon_pecosensis,645ab24495bd22ca2330fbcc
Owens Pupfish,United States: CA (S1),Endangered,G1,G1,Cyprinodon radiosus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104524/Cyprinodon_radiosus,645ab24495bd22ca2330fbcd
White Sands Pupfish,United States: NM (S1),Under Review,G1,G1,Cyprinodon tularosa,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102766/Cyprinodon_tularosa,645ab24495bd22ca2330fbce
Lost River Sucker,"United States: CA (S1), OR (S1)",Endangered,G2?,G2,Deltistes luxatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102932/Deltistes_luxatus,645ab24495bd22ca2330fbcf
Devils River Minnow,United States: TX (S1),Threatened,G1,G1,Dionda diaboli,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102364/Dionda_diaboli,645ab24495bd22ca2330fbd0
Spring Pygmy Sunfish,United States: AL (S1),Threatened,G1,G1,Elassoma alabamae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106437/Elassoma_alabamae,645ab24495bd22ca2330fbd1
Pahrump Poolfish,United States: NV (S1),Endangered,G1,G1,Empetrichthys latos,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103289/Empetrichthys_latos,645ab24495bd22ca2330fbd2
Desert Dace,United States: NV (S1),Threatened,G1,G1,Eremichthys acros,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102361/Eremichthys_acros,645ab24495bd22ca2330fbd3
Spotfin Chub,"United States: AL (SX), GA (SX), NC (S1), TN (S2), VA (S1)","Threatened; Experimental population, non-essential",G2,G2,Erimonax monachus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105913/Erimonax_monachus,645ab24495bd22ca2330fbd4
Slender Chub,"United States: TN (S1), VA (S1)","Threatened; Experimental population, non-essential",G1,G1,Erimystax cahni,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106109/Erimystax_cahni,645ab24495bd22ca2330fbd5
Bluemask Darter,United States: TN (S1),Endangered,G1,G1,Etheostoma akatulo,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104779/Etheostoma_akatulo,645ab24495bd22ca2330fbd6
Slackwater Darter,"United States: AL (S1), TN (S1)",Threatened,G1,G1,Etheostoma boschungi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106525/Etheostoma_boschungi,645ab24495bd22ca2330fbd7
Vermilion Darter,United States: AL (S1),Endangered,G1,G1,Etheostoma chermocki,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105491/Etheostoma_chermocki,645ab24495bd22ca2330fbd8
Relict Darter,United States: KY (S1),Endangered; Proposed threatened,G1,G1,Etheostoma chienense,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105789/Etheostoma_chienense,645ab24495bd22ca2330fbd9
Etowah Darter,United States: GA (S1),Endangered,G1,G1,Etheostoma etowahae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103687/Etheostoma_etowahae,645ab24495bd22ca2330fbda
Fountain Darter,United States: TX (S1),Endangered,G1,G1,Etheostoma fonticola,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105040/Etheostoma_fonticola,645ab24495bd22ca2330fbdb
Smallscale Darter,"United States: KY (S1), TN (S2)",Under Review,G2G3,G2,Etheostoma microlepidum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104185/Etheostoma_microlepidum,645ab24495bd22ca2330fbdc
Yellowcheek Darter,United States: AR (S1),Endangered,G1,G1,Etheostoma moorei,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105669/Etheostoma_moorei,645ab24495bd22ca2330fbdd
Niangua Darter,United States: MO (S2),Threatened,G2,G2,Etheostoma nianguae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106021/Etheostoma_nianguae,645ab24495bd22ca2330fbde
Watercress Darter,United States: AL (S1),Endangered,G1,G1,Etheostoma nuchale,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100151/Etheostoma_nuchale,645ab24495bd22ca2330fbdf
Okaloosa Darter,United States: FL (S2),Threatened; Proposed for delisting,G2G3,G2,Etheostoma okaloosae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104661/Etheostoma_okaloosae,645ab24495bd22ca2330fbe0
Candy Darter,"United States: VA (S1), WV (S1)",Endangered,G3,G3,Etheostoma osburni,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105680/Etheostoma_osburni,645ab24495bd22ca2330fbe1
Paleback Darter,United States: AR (S2),Under Review,G2,G2,Etheostoma pallididorsum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101058/Etheostoma_pallididorsum,645ab24495bd22ca2330fbe2
Rush Darter,United States: AL (S1),Endangered,G1,G1,Etheostoma phytophilum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105223/Etheostoma_phytophilum,645ab24495bd22ca2330fbe3
Egg-mimic Darter,United States: TN (S1),Under Review,G1,G1,Etheostoma pseudovulatum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104843/Etheostoma_pseudovulatum,645ab24495bd22ca2330fbe4
Bayou Darter,United States: MS (S1),Threatened,G1,G1,Etheostoma rubrum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103143/Etheostoma_rubrum,645ab24495bd22ca2330fbe5
Cherokee Darter,United States: GA (S2),Threatened,G2,G2,Etheostoma scotti,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101141/Etheostoma_scotti,645ab24495bd22ca2330fbe6
Maryland Darter,United States: MD (SH),Endangered,GH,GH,Etheostoma sellare,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105802/Etheostoma_sellare,645ab24495bd22ca2330fbe7
Cumberland Plateau Darter,United States: KY (S2),Threatened,G2G3,G2,Etheostoma spilotum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105403/Etheostoma_spilotum,645ab24495bd22ca2330fbe8
Striated Darter,United States: TN (S1),Under Review,G1,G1,Etheostoma striatulum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105581/Etheostoma_striatulum,645ab24495bd22ca2330fbe9
Cumberland Darter,"United States: KY (S1), TN (S1)",Endangered,G1G2,G1,Etheostoma susanae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102786/Etheostoma_susanae,645ab24495bd22ca2330fbea
Shawnee Darter,United States: KY (S2),Under Review,G2G3,G2,Etheostoma tecumsehi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105844/Etheostoma_tecumsehi,645ab24495bd22ca2330fbeb
Trispot Darter,"United States: AL (S1), GA (S1), TN (S1)",Threatened,G1,G1,Etheostoma trisella,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105359/Etheostoma_trisella,645ab24495bd22ca2330fbec
Tuscumbia Darter,"United States: AL (S2), TN (SX)",Under Review,G2,G2,Etheostoma tuscumbia,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106174/Etheostoma_tuscumbia,645ab24495bd22ca2330fbed
Boulder Darter,"United States: AL (S1), TN (S1)","Endangered; Experimental population, non-essential",G1,G1,Etheostoma wapiti,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101522/Etheostoma_wapiti,645ab24495bd22ca2330fbee
Tidewater Goby,United States: CA (S3),Endangered; Proposed threatened,G3,G3,Eucyclogobius newberryi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102265/Eucyclogobius_newberryi,645ab24495bd22ca2330fbef
