Common Name,Distribution,Endangered Species Act Status,NatureServe Global Rank,NatureServe Rounded Global Rank,Scientific Name,Species Group (Fine),View on NatureServe Explorer,_id
Saddled Madtom,United States: TN (S2),Under Review,G2,G2,Noturus fasciatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104145/Noturus_fasciatus,645ab24495bd22ca2330fc18
Yellowfin Madtom,"United States: GA (SX), TN (S1), VA (S1)","Threatened; Experimental population, non-essential",G1,G1,Noturus flavipinnis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102313/Noturus_flavipinnis,645ab24495bd22ca2330fc19
Carolina Madtom,United States: NC (S2),Endangered,G2,G2,Noturus furiosus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103808/Noturus_furiosus,645ab24495bd22ca2330fc1a
Orangefin Madtom,"United States: NC (S1), VA (S2)",Under Review,G2,G2,Noturus gilberti,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103813/Noturus_gilberti,645ab24495bd22ca2330fc1b
Piebald Madtom,"United States: MS (S1), TN (S3)",Under Review,G3,G3,Noturus gladiator,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.814750/Noturus_gladiator,645ab24495bd22ca2330fc1c
Neosho Madtom,"United States: KS (S2), MO (S1), OK (S1)",Threatened,G2,G2,Noturus placidus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103697/Noturus_placidus,645ab24495bd22ca2330fc1d
Pygmy Madtom,United States: TN (S1),"Endangered; Experimental population, non-essential",G1,G1,Noturus stanauli,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102805/Noturus_stanauli,645ab24495bd22ca2330fc1e
Caddo Madtom,United States: AR (S1),Under Review,G1,G1,Noturus taylori,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100771/Noturus_taylori,645ab24495bd22ca2330fc1f
Scioto Madtom,United States: OH (SX),Endangered; Proposed for delisting,GX,GX,Noturus trautmani,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100241/Noturus_trautmani,645ab24495bd22ca2330fc20
Apache Trout,United States: AZ (S2),Threatened,G3,G3,Oncorhynchus apache,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101654/Oncorhynchus_apache,645ab24495bd22ca2330fc21
